avg pay 2020,avg pay 2021,avg pay 2019,location
"71,186","72,808","72,808",The United States
"57,243","59,558","59,558",Alabama
"78,236","83,079","83,079",Alaska
"70,220","74,897","74,897",Arizona
"53,148","57,799","57,799",Arkansas
"81,278","82,772","82,772",California
"87,689","76,832","76,832",Colorado
"83,141","92,507","92,507",Connecticut
"73,292","78,628","78,628",Delaware
"92,337","98,675","98,675",District of Columbia
"60,460","61,856","61,856",Florida
"62,033","60,012","60,012",Georgia
"84,600","93,265","93,265",Hawaii
"69,841","69,932","69,932",Idaho
"77,805","78,845","78,845",Illinois
"69,925","70,679","70,679",Indiana
"72,030","70,002","70,002",Iowa
"76,495","77,523","77,523",Kansas
"59,405","58,989","58,989",Kentucky
"53,576","54,797","54,797",Louisiana
"66,667","70,523","70,523",Maine
"99,215","101,283","101,283",Maryland
"91,912","92,949","92,949",Massachusetts
"67,399","67,951","67,951",Michigan
"82,431","86,292","86,292",Minnesota
"47,242","47,463","47,463",Mississippi
"65,081","64,218","64,218",Missouri
"59,390","63,792","63,792",Montana
"75,622","77,437","77,437",Nebraska
"64,020","75,143","75,143",Nevada
"93,045","92,093","92,093",New Hampshire
"89,543","92,969","92,969",New Jersey
"53,283","56,287","56,287",New Mexico
"71,865","76,149","76,149",New York
"63,252","64,814","64,814",North Carolina
"67,109","74,216","74,216",North Dakota
"63,198","68,527","68,527",Ohio
"54,921","62,946","62,946",Oklahoma
"80,443","78,860","78,860",Oregon
"74,094","74,800","74,800",Pennsylvania
"83,918","74,344","74,344",Rhode Island
"63,159","65,735","65,735",South Carolina
"73,467","68,095","68,095",South Dakota
"57,542","60,011","60,011",Tennessee
"71,599","71,474","71,474",Texas
"87,915","89,574","89,574",Utah
"70,398","78,746","78,746",Vermont
"86,053","86,172","86,172",Virginia
"85,157","87,381","87,381",Washington
"54,396","56,916","56,916",West Virginia
"70,553","71,380","71,380",Wisconsin
"68,506","69,027","69,027",Wyoming
